X축 우선순위,총계,,,,,,,,,
나이별,연도,합계(명),전년도(명),성장률(%),구성비(%),목적별,,,,
,,,,,,관광,상용,공용,유학연수,기타
11 ~ 20,2005년 04월,12354,0,0,0,10216,176,499,227,1236
11 ~ 20,2005년 05월,12328,0,0,0,10626,253,241,95,1113
11 ~ 20,2005년 06월,22785,0,0,0,19539,251,269,227,2499
11 ~ 20,2005년 07월,36819,0,0,0,32390,326,573,283,3247
11 ~ 20,2005년 08월,46282,0,0,0,40124,457,584,1698,3419
11 ~ 20,2005년 09월,17744,0,0,0,14529,300,107,1568,1240
11 ~ 20,2005년 10월,23576,0,0,0,21635,373,93,427,1048
11 ~ 20,2005년 11월,17695,0,0,0,15400,414,325,330,1226
11 ~ 20,2005년 12월,31028,0,0,0,26452,426,384,388,3378
11 ~ 20,2006년 01월,19909,17063,0.167,0,17475,214,295,311,1614
11 ~ 20,2006년 02월,17483,22924,-0.237,0,13829,277,201,1856,1320
11 ~ 20,2006년 03월,25165,29029,-0.133,0,21196,398,92,1850,1629
11 ~ 20,2006년 04월,14031,12354,0.136,0,11372,414,455,316,1474
11 ~ 20,2006년 05월,13795,12328,0.119,0,11973,409,236,216,961
11 ~ 20,2006년 06월,24003,22785,0.053,0,20444,330,229,501,2499
11 ~ 20,2006년 07월,37625,36819,0.022,0,32970,468,573,630,2984
11 ~ 20,2006년 08월,50496,46282,0.091,0,44130,586,501,2452,2827
11 ~ 20,2006년 09월,19996,17744,0.127,0,15366,452,78,3299,801
11 ~ 20,2006년 10월,24406,23576,0.035,0,21303,378,141,1341,1243
11 ~ 20,2006년 11월,16704,17695,-0.056,0,14592,432,295,465,920
11 ~ 20,2006년 12월,32228,31028,0.039,0,28476,319,278,1175,1980
11 ~ 20,2007년 01월,16363,19909,-0.178,0,13764,299,309,782,1209
11 ~ 20,2007년 02월,26097,17483,0.493,0,22223,196,183,2691,804
11 ~ 20,2007년 03월,26873,25165,0.068,0,20667,265,109,4207,1625
11 ~ 20,2007년 04월,15004,14031,0.069,0,11779,420,483,830,1492
11 ~ 20,2007년 05월,14426,13795,0.046,0,11917,310,295,473,1431
11 ~ 20,2007년 06월,27566,24003,0.148,0,22564,316,216,1289,3181
11 ~ 20,2007년 07월,41967,37625,0.115,0,35935,444,514,909,4165
11 ~ 20,2007년 08월,51931,50496,0.028,0,42697,677,485,4543,3529
11 ~ 20,2007년 09월,21083,19996,0.054,0,14785,502,108,4398,1290
11 ~ 20,2007년 10월,26883,24406,0.101,0,23182,638,108,1844,1111
11 ~ 20,2007년 11월,18793,16704,0.125,0,15388,730,245,1157,1273
11 ~ 20,2007년 12월,32182,32228,-0.001,0,26382,472,302,1758,3268
11 ~ 20,2008년 01월,17554,16363,0.073,0,14437,440,281,725,1671
11 ~ 20,2008년 02월,24046,26097,-0.079,0,17575,301,156,4336,1678
11 ~ 20,2008년 03월,28197,26873,0.049,0,21367,315,171,3600,2744
11 ~ 20,2008년 04월,13466,15004,-0.103,0,10934,339,472,554,1167
11 ~ 20,2008년 05월,14824,14426,0.028,0,11933,444,276,663,1508
11 ~ 20,2008년 06월,27233,27566,-0.012,0,21909,390,251,1393,3290
11 ~ 20,2008년 07월,45003,41967,0.072,0,39403,426,418,802,3954
11 ~ 20,2008년 08월,50043,51931,-0.036,0,39785,492,479,6163,3124
11 ~ 20,2008년 09월,23207,21083,0.101,0,17188,377,78,4368,1196
11 ~ 20,2008년 10월,23974,26883,-0.108,0,21052,324,119,1304,1175
11 ~ 20,2008년 11월,19575,18793,0.042,0,16916,300,241,896,1222
11 ~ 20,2008년 12월,36497,32182,0.134,0,32555,136,315,1541,1950
11 ~ 20,2009년 01월,29356,17554,0.672,0,26919,99,260,779,1299
11 ~ 20,2009년 02월,23436,24046,-0.025,0,17782,94,217,4675,668
11 ~ 20,2009년 03월,36579,28197,0.297,0,32316,93,151,2820,1199
11 ~ 20,2009년 04월,19784,13466,0.469,0,17964,88,465,495,772
11 ~ 20,2009년 05월,13928,14824,-0.06,0,12102,100,232,665,829
11 ~ 20,2009년 06월,22775,27233,-0.164,0,19476,127,201,1150,1821
11 ~ 20,2009년 07월,44208,45003,-0.018,0,40988,141,376,813,1890
11 ~ 20,2009년 08월,62710,50043,0.253,0,53457,126,403,6666,2058
11 ~ 20,2009년 09월,26059,23207,0.123,0,21194,117,96,4111,541
11 ~ 20,2009년 10월,23421,23974,-0.023,0,21001,155,172,1144,949
