"통계분류(1)",통계분류(2),2014,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019
"통계분류(1)",통계분류(2),사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,무박,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,사례수,호텔,친척 또는 친구집,게스트하우스/호스텔,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,사찰,홈스테이,호텔,친척 또는 친구집,게스트하우스/호스텔,민박/공유숙박,모텔/여관,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,숙박하지않음,호텔,친척 또는 친구집,게스트하우스/호스텔,민박/공유숙박,모텔/여관,학교/회사기숙사/연수원,콘도 리조트 펜션,기 타,숙박하지않음
"거주국",호주,125,75.5,17.2,11.8,2.5,1.1,0.7,0.4,0.3,138,71.8,17,12.7,3.1,3.4,0.2,0.8,0,0.4,114,70.8,11.1,19.5,2.1,3.2,2.6,0.2,0.3,167,67.4,16.2,24.5,3.5,2.6,1,1,2.1,69.7,16.6,14.5,9.8,2.4,2.2,1.4,1.9,1.4,72,11.7,11,13.3,2.2,1.3,0.4,1,0.3
"거주국",미국,696,64.6,17.6,12.1,8.1,8,0.8,0.1,0.4,799,59.7,22.1,15.8,9.1,6.6,0.7,0.4,0.5,1.2,623,65.1,21.3,15,6.6,2.6,4.2,0.5,0.4,925,67.7,19.5,20.1,5.4,2,1.4,0.9,1.5,64.3,19.4,12.9,12.7,2,2.5,3.7,1.5,1.8,66.3,16.3,9.2,10.9,1.3,3.4,1.1,1.2,3.6
"거주국",캐나다,130,68.6,17.9,13.8,6.5,5.4,0.7,0,0.5,151,62.8,25.4,16.8,6.3,3.2,0.5,1.9,0,1.3,114,64,21.9,19,3.4,3.5,4.4,0,0.2,174,63.2,19.7,22.4,4.9,1.5,1.6,0,2.1,60.8,18.6,12.2,14.1,1.9,2.9,2.9,0.7,5.1,58.5,14.5,12.8,9.1,2,1.8,2.6,2,11
"거주국",영국,110,79.3,10,10,4,3.4,0.2,0.2,0.2,120,72.5,16.1,13,5.1,4.1,0.4,0,0.2,0.5,90,70.4,12.4,17.2,5.2,2.3,3.1,0,0.2,132,75.3,17.8,17.2,4.7,1.9,1.7,0.5,1.7,68.8,16.9,13.2,10.9,2.8,0.8,2.9,0.5,0,71.8,13.5,12.3,7.3,3.1,2.9,0.7,1.3,0.7
"거주국",독일,86,79.4,10.9,10,3.6,2,0.3,0.3,0.6,100,79.3,10.2,10.2,6.6,4,0,0,0,0,77,70.2,11.2,20.2,4.6,3.2,1.2,0.8,1,112,77.6,8.9,18.5,5.5,2.5,2,0.6,4.4,72.7,14.1,12.5,7.9,2.3,2.5,3.7,1.3,0,74.8,10.3,11.2,11.6,1.5,1.2,0.9,1.5,0
"거주국",프랑스,71,75.1,11.1,17.9,6.5,2.5,0.3,0.6,0,85,65,15.7,24.9,10.1,4.8,1.1,0,0.9,0.9,65,67.9,15.3,20.8,6.2,3.1,1,0.3,0.7,97,68.5,10.9,29,6.8,2.5,2.3,2.1,2,65.3,16.4,21.2,15.5,1.5,3.8,1.6,2.9,0,66.4,13.3,17.5,16.1,3.9,2.6,1,1.4,0.4
"거주국",러시아,158,69.8,6,16.3,4.1,4.2,1.7,1,0.2,154,60.4,16.9,18.8,3.6,3.7,1.5,0,0.3,0.4,138,62.2,13.2,23.8,4.2,3.1,2.6,0.5,1.1,243,59,19.7,25.6,4.6,2.9,1.9,0.5,2.2,62.8,18.8,15.2,3.8,9.6,1.7,2,2.6,0.7,58.6,21.5,13.7,5,10.4,1.2,0.8,0.7,0.5
"거주국",중동전체,137,25.2,14.8,52.5,9.2,4.2,1.8,0.2,0.3,171,44.7,18,28.8,8.9,5.1,3,0,0.4,0.3,135,39.3,12.5,41.8,7.4,5.1,2.2,0,0,226,60.8,17.6,16.1,11.9,2.4,3.8,0.3,2.7,63.3,17.5,10.8,4,11.1,4,1.7,2.4,0.3,67.4,17.5,11.4,2.6,6.3,2.3,1.5,1.4,0
"거주국",중앙아시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,58.4,22.6,14.5,2.4,8,2.5,0.6,2,0
"거주국",GCC,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.4,4.5,2.5,1.5,2.3,1.2,4.2,1,0
"거주국",기타중동,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.4,11.5,8.6,3.9,4.1,2.5,2.3,0,0
"거주국",인도,66,69.1,3.9,10.3,16.7,3.5,0.7,0,0,74,69.4,5.3,12.6,10.8,6.3,0.6,0,0,0,57,73.9,5.3,12.7,10,3.9,1.5,0,0.6,84,71.1,6,17.2,9.5,1.5,3.3,0,1.9,72.8,7.7,14.2,4.8,3.6,7,0.5,1.7,0,78.2,4.2,12.6,2.7,3.1,4,0.3,0.5,0
"거주국",필리핀,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,284,52.6,8.5,38.3,3.3,3.9,0.4,0.5,3.3,52.3,9.2,27.3,11.2,3.6,2,3.4,0.8,0.4,54.9,9.6,25.5,11.7,4.2,1,0.9,0.1,0.2
"거주국",인도네시아,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,63.3,5,35.2,3,4,0.5,0,2.5,75.5,2.9,16.4,5.6,3.1,2.3,4.9,0.3,0.1,74.6,5.1,14.4,6.1,3.6,2.2,5.8,0.6,0.7
"거주국",베트남,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,332,52.4,23.5,11.8,12.6,3.4,0.8,0.8,0.1,77.6,10.1,6,1.5,4.6,3.4,3.8,0.4,0.2,73.1,18.3,4.5,3.4,7.1,1.6,1.3,0.1,0
"거주국",몽골,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48.7,44.6,9.6,0.8,18.7,3.2,19.4,1.6,0,34.6,49.5,5.6,3.3,12.4,4.3,1.7,1.1,0.7
"거주국",기타,930,65.4,10.1,16.5,11.2,5.3,0.6,0.9,1,1098,64.2,11.3,18.1,10.6,3.5,0.4,0.2,0.3,0.6,938,59.7,7.3,27.8,8,2.8,3.3,0.1,0.4,786,69.6,11.8,22.6,8.6,4,0.6,0.9,2.8,68.5,11.9,20.1,8.6,4.7,2,2.2,0.8,0,71.5,7.6,18.1,9.2,2.3,4.2,0.5,1.3,0.2
"성별",남성,5368,78.1,5.6,11.2,4,4.1,0.6,0.1,0.8,5747,73.4,8.8,14,4.4,2.9,0.9,0.2,0.2,0.7,4945,75.2,6.9,16,3.6,2.2,1,0.2,0.3,6193,71.8,10.3,17,5.3,2.7,1.8,0.3,1,71.2,12.6,8,4.9,7.6,2.6,3,0.9,0.2,73,9.8,6.3,5.5,6.7,2.8,1.2,0.7,0.5
"성별",여성,6656,73.9,6,15.2,3.3,4.7,0.5,0.1,1.1,7135,66.4,10.2,18.7,3.3,3.2,1.1,0.1,0.1,1.9,7025,68.1,6.7,21.5,3.8,3.4,1,0.1,0.4,7612,65.2,10.7,22.7,4.7,3.1,1.5,0.2,1.8,69,11.4,9.7,8,5.8,2,3,0.8,0.3,71.1,10.8,7,7.2,5.1,1.7,1.7,0.6,0.4
"연령",15~20세,702,62.2,10.4,16,9.2,6.4,0.9,0,1.1,666,53.9,16.2,17.8,12,4.2,1,0.4,0.1,1.4,728,53.5,9.4,27.8,12.9,4.6,1.7,0.1,1.2,950,53.5,11.6,23.5,15.3,3.7,4.7,0.4,2.4,57.3,11.3,14.9,9.3,6.5,9.4,1.7,2.2,0.3,56.7,11.2,11.5,9.1,3.2,11.6,2.1,1.4,0.5
"연령",21~30세,4560,66.2,6.2,19.5,5.6,6,0.5,0.2,1.4,5076,60.8,11.6,21.2,5.7,3.9,0.8,0.2,0.1,2.4,5222,64.4,6.8,23.8,5.2,3.7,1.3,0.1,0.4,5644,60.3,11,26.9,7.1,2.9,2.5,0.4,1.6,64.3,10.2,14.4,10.1,6.7,3.2,3.6,1.2,0.3,67.1,8.1,11.1,10,5.3,2.7,1.7,1.1,0.4
"연령",31~40세,3282,80.2,5.1,11.4,1.9,4.2,0.6,0.1,0.8,3487,72.7,7.8,16.4,2,2.7,0.6,0.1,0,1,3275,75.3,6.1,17.8,1.6,2.5,0.6,0.1,0.4,3421,71.9,9.2,18.5,2.2,3.1,0.5,0.1,1.2,72.5,11.3,8.1,5.8,6.4,1.4,3.1,0.7,0.5,75.6,9.2,5.3,5.7,5.8,1.8,1.6,0.3,0.3
"연령",41~50세,1813,87.3,4,7.9,1.6,1.6,0.3,0.2,0.4,1972,80.9,5.9,12.3,1.3,2,1.6,0.1,0.3,0.5,1576,81.6,6.3,11.3,1.2,1.6,0.5,0.1,0.1,2121,79.2,9,12.8,1.7,2.7,0.4,0.2,1.2,76.1,10.6,5.3,4.2,6.7,1.3,2.9,0.4,0.3,75.1,12.6,4,4.1,5.9,1,1.4,0.4,0.7
"연령",51~60세,1203,87.5,4.7,5.9,1.5,2.9,0.7,0.1,0.5,1158,83.1,6.9,7.7,1.4,1.8,2.2,0.3,0.4,0.2,856,86.2,7.1,7.5,0.9,0.8,0.7,0.2,0.1,1211,80.5,13,9,2,2.1,0.7,0.5,0.7,74.8,14.2,3.8,4.1,6.5,0.9,2.5,0.5,0.2,75.5,12.4,3.1,3.6,7,1.1,1.2,0.3,0.7
